,region,hour,region_hour_mean,region_hour_std,day_of_week,region_dow_mean,region_dow_std
0,0,0,163.9,76.43028279323502,0,261.95703125,163.7454681321247
1,0,0,163.9,76.43028279323502,1,306.0924479166667,178.8998628668149
2,0,0,163.9,76.43028279323502,2,317.6287671232877,182.69602808350882
3,0,0,163.9,76.43028279323502,3,329.60863095238096,177.85358799572072
4,0,0,163.9,76.43028279323502,4,302.2903645833333,156.3210526790563
5,0,0,163.9,76.43028279323502,5,208.90885416666666,135.635688229542
6,0,0,163.9,76.43028279323502,6,183.609375,110.6569856122871
7,0,1,99.77272727272727,62.535273566336976,0,261.95703125,163.7454681321247
8,0,1,99.77272727272727,62.535273566336976,1,306.0924479166667,178.8998628668149
9,0,1,99.77272727272727,62.535273566336976,2,317.6287671232877,182.69602808350882
10,0,1,99.77272727272727,62.535273566336976,3,329.60863095238096,177.85358799572072
11,0,1,99.77272727272727,62.535273566336976,4,302.2903645833333,156.3210526790563
12,0,1,99.77272727272727,62.535273566336976,5,208.90885416666666,135.635688229542
13,0,1,99.77272727272727,62.535273566336976,6,183.609375,110.6569856122871
14,0,2,60.70454545454545,53.81677843707256,0,261.95703125,163.7454681321247
15,0,2,60.70454545454545,53.81677843707256,1,306.0924479166667,178.8998628668149
16,0,2,60.70454545454545,53.81677843707256,2,317.6287671232877,182.69602808350882
17,0,2,60.70454545454545,53.81677843707256,3,329.60863095238096,177.85358799572072
18,0,2,60.70454545454545,53.81677843707256,4,302.2903645833333,156.3210526790563
19,0,2,60.70454545454545,53.81677843707256,5,208.90885416666666,135.635688229542
20,0,2,60.70454545454545,53.81677843707256,6,183.609375,110.6569856122871
21,0,3,37.27272727272727,35.724058913036224,0,261.95703125,163.7454681321247
22,0,3,37.27272727272727,35.724058913036224,1,306.0924479166667,178.8998628668149
23,0,3,37.27272727272727,35.724058913036224,2,317.6287671232877,182.69602808350882
24,0,3,37.27272727272727,35.724058913036224,3,329.60863095238096,177.85358799572072
25,0,3,37.27272727272727,35.724058913036224,4,302.2903645833333,156.3210526790563
26,0,3,37.27272727272727,35.724058913036224,5,208.90885416666666,135.635688229542
27,0,3,37.27272727272727,35.724058913036224,6,183.609375,110.6569856122871
28,0,4,31.35,17.790774121314012,0,261.95703125,163.7454681321247
29,0,4,31.35,17.790774121314012,1,306.0924479166667,178.8998628668149
30,0,4,31.35,17.790774121314012,2,317.6287671232877,182.69602808350882
31,0,4,31.35,17.790774121314012,3,329.60863095238096,177.85358799572072
32,0,4,31.35,17.790774121314012,4,302.2903645833333,156.3210526790563
33,0,4,31.35,17.790774121314012,5,208.90885416666666,135.635688229542
34,0,4,31.35,17.790774121314012,6,183.609375,110.6569856122871
35,0,5,46.336363636363636,32.032596774580625,0,261.95703125,163.7454681321247
36,0,5,46.336363636363636,32.032596774580625,1,306.0924479166667,178.8998628668149
37,0,5,46.336363636363636,32.032596774580625,2,317.6287671232877,182.69602808350882
38,0,5,46.336363636363636,32.032596774580625,3,329.60863095238096,177.85358799572072
39,0,5,46.336363636363636,32.032596774580625,4,302.2903645833333,156.3210526790563
40,0,5,46.336363636363636,32.032596774580625,5,208.90885416666666,135.635688229542
41,0,5,46.336363636363636,32.032596774580625,6,183.609375,110.6569856122871
42,0,6,117.58181818181818,71.15124822891724,0,261.95703125,163.7454681321247
43,0,6,117.58181818181818,71.15124822891724,1,306.0924479166667,178.8998628668149
44,0,6,117.58181818181818,71.15124822891724,2,317.6287671232877,182.69602808350882
45,0,6,117.58181818181818,71.15124822891724,3,329.60863095238096,177.85358799572072
46,0,6,117.58181818181818,71.15124822891724,4,302.2903645833333,156.3210526790563
47,0,6,117.58181818181818,71.15124822891724,5,208.90885416666666,135.635688229542
48,0,6,117.58181818181818,71.15124822891724,6,183.609375,110.6569856122871
49,0,7,223.62272727272727,121.07478511524,0,261.95703125,163.7454681321247
50,0,7,223.62272727272727,121.07478511524,1,306.0924479166667,178.8998628668149
51,0,7,223.62272727272727,121.07478511524,2,317.6287671232877,182.69602808350882
52,0,7,223.62272727272727,121.07478511524,3,329.60863095238096,177.85358799572072
53,0,7,223.62272727272727,121.07478511524,4,302.2903645833333,156.3210526790563
54,0,7,223.62272727272727,121.07478511524,5,208.90885416666666,135.635688229542
55,0,7,223.62272727272727,121.07478511524,6,183.609375,110.6569856122871
56,0,8,320.6090909090909,159.98350916469246,0,261.95703125,163.7454681321247
57,0,8,320.6090909090909,159.98350916469246,1,306.0924479166667,178.8998628668149
58,0,8,320.6090909090909,159.98350916469246,2,317.6287671232877,182.69602808350882
59,0,8,320.6090909090909,159.98350916469246,3,329.60863095238096,177.85358799572072
60,0,8,320.6090909090909,159.98350916469246,4,302.2903645833333,156.3210526790563
61,0,8,320.6090909090909,159.98350916469246,5,208.90885416666666,135.635688229542
62,0,8,320.6090909090909,159.98350916469246,6,183.609375,110.6569856122871
63,0,9,327.6090909090909,124.96191898141139,0,261.95703125,163.7454681321247
64,0,9,327.6090909090909,124.96191898141139,1,306.0924479166667,178.8998628668149
65,0,9,327.6090909090909,124.96191898141139,2,317.6287671232877,182.69602808350882
66,0,9,327.6090909090909,124.96191898141139,3,329.60863095238096,177.85358799572072
67,0,9,327.6090909090909,124.96191898141139,4,302.2903645833333,156.3210526790563
68,0,9,327.6090909090909,124.96191898141139,5,208.90885416666666,135.635688229542
69,0,9,327.6090909090909,124.96191898141139,6,183.609375,110.6569856122871
70,0,10,309.8181818181818,80.61330909958393,0,261.95703125,163.7454681321247
71,0,10,309.8181818181818,80.61330909958393,1,306.0924479166667,178.8998628668149
